"ブランド","品番","カラーNo","ｻｲｽﾞ","品名","カラー名","OEM区分","倉庫ｺｰﾄﾞ","倉庫名","ﾛｹｰｼｮﾝ","可能在庫数","出荷残数","ｷｰﾌﾟ残数","現在庫数","原単価","原価額","預かり区分","年月度","前月在庫数","入荷数","出荷数","入庫数","出庫数","振替数(+)","振替数(-)","調整数","棚卸差異","未入庫数"
"他社仕入商品","!TA"," ","0","他社仕入商品","　","プロパー","1","物流部倉庫","0","482.00","-4.00","0.00","478.00","0.00","0","自社","2026/09","478.00","0","0","0","0","0","0","0","0","0.00"
"ｲｽﾄﾜｰﾙOEM SG","01002134300","1","0","０１００２１３４３００","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","4.00","0.00","0.00","4.00","507.00","2028","自社","2026/09","4.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA1566221","060","0","０１０ＪＡ１５６－６２２１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","414.15","2071","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7560781","020","0","０１０ＪＡ７５６－０７８１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","16.00","0.00","0.00","16.00","333.30","5333","自社","2026/09","16.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7560781","083","0","０１０ＪＡ７５６－０７８１","ﾚｯﾄﾞ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","359.70","3597","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567021","020","0","０１０ＪＡ７５６－７０２１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","3.00","0.00","0.00","3.00","589.20","1768","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567021","065","0","０１０ＪＡ７５６－７０２１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","3.00","0.00","0.00","3.00","589.20","1768","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567031","500","0","０１０ＪＡ７５６－７０３１","ｺﾞｰﾙﾄﾞ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","641.85","6419","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567031","510","0","０１０ＪＡ７５６－７０３１","ｼﾙﾊﾞｰ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","641.85","6419","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JAQ560721","020","0","０１０ＪＡＱ５６－０７２１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","316.80","1584","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JAQ560721","065","0","０１０ＪＡＱ５６－０７２１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","343.20","1716","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JS4566771","065","0","０１０ＪＳ４５６－６７７１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","9.00","0.00","0.00","9.00","359.70","3237","自社","2026/09","9.00","0","0","0","0","0","0","0","0","0.00"
"ｴﾓﾀﾞSG ﾏｰｸｽﾀｲﾗｰ","042620950201","70","0","０４２６２０９５０２０１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","549.45","2747","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","30","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","6.00","6.00","783.75","4703","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","40","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","9.00","9.00","783.75","7054","自社","2026/09","10.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般既成近眼","1000","1","50","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","3.00","3.00","833.25","2500","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","60","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","6.00","6.00","833.25","5000","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","70","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","61.00","61.00","833.25","50828","自社","2026/09","65.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
