倉庫毎の実在庫,商品ID,商品名,在庫しきい値,カテゴリー名,販売可能数,引当済 (全倉庫),安全在庫数,未引当,安全在庫設定値,実在庫数,倉庫ID,倉庫,実在庫 (倉庫毎),引当済 (倉庫毎),SKUコード,セット区分,セット構成品商品ID,セット構成品名,構成品数
7,71032-00000002,flm-001-1-15,3,老眼鏡,6,1,0,0,0,7,999,RFC倉庫,7,1,flm-001-1-15,0,,,
0,71032-00000002,flm-001-1-15,3,老眼鏡,6,1,0,0,0,7,61144,自社倉庫,0,0,flm-001-1-15,0,,,
0,71032-00000006,3053-1,3,サングラス,0,0,0,0,0,0,999,RFC倉庫,0,0,3053-1,0,,,
0,71032-00000006,3053-1,3,サングラス,0,0,0,0,0,0,61144,自社倉庫,0,0,3053-1,0,,,
0,71032-00000007,3053-2,3,サングラス,0,0,0,0,0,0,999,RFC倉庫,0,0,3053-2,0,,,
0,71032-00000007,3053-2,3,サングラス,0,0,0,0,0,0,61144,自社倉庫,0,0,3053-2,0,,,
0,71032-00000008,3053-8,3,サングラス,0,0,0,0,0,0,999,RFC倉庫,0,0,3053-8,0,,,
0,71032-00000008,3053-8,3,サングラス,0,0,0,0,0,0,61144,自社倉庫,0,0,3053-8,0,,,
0,71032-00000010,3063-2,3,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,3063-2,0,,,
3,71032-00000010,3063-2,3,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,3063-2,0,,,
0,71032-00000011,3063-9,3,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,3063-9,0,,,
3,71032-00000011,3063-9,3,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,3063-9,0,,,
0,71032-00000016,5003-1,3,サングラス,10,1,0,0,0,11,999,RFC倉庫,0,0,5003-1,0,,,
11,71032-00000016,5003-1,3,サングラス,10,1,0,0,0,11,61144,自社倉庫,11,1,5003-1,0,,,
0,71032-00000017,5003-2,3,サングラス,10,1,0,0,0,11,999,RFC倉庫,0,0,5003-2,0,,,
11,71032-00000017,5003-2,3,サングラス,10,1,0,0,0,11,61144,自社倉庫,11,1,5003-2,0,,,
0,71032-00000018,5003-11,3,サングラス,0,0,0,0,0,0,999,RFC倉庫,0,0,5003-11,0,,,
0,71032-00000018,5003-11,3,サングラス,0,0,0,0,0,0,61144,自社倉庫,0,0,5003-11,0,,,
0,71032-00000020,5010p-1,3,PCメガネ,0,0,0,0,0,0,999,RFC倉庫,0,0,5010p-1,0,,,
0,71032-00000020,5010p-1,3,PCメガネ,0,0,0,0,0,0,61144,自社倉庫,0,0,5010p-1,0,,,
0,71032-00000021,5010p-11,3,PCメガネ,0,0,0,0,0,0,999,RFC倉庫,0,0,5010p-11,0,,,
0,71032-00000021,5010p-11,3,PCメガネ,0,0,0,0,0,0,61144,自社倉庫,0,0,5010p-11,0,,,
0,71032-00000022,5010p-9,3,PCメガネ,0,0,0,0,0,0,999,RFC倉庫,0,0,5010p-9,0,,,
0,71032-00000022,5010p-9,3,PCメガネ,0,0,0,0,0,0,61144,自社倉庫,0,0,5010p-9,0,,,
0,71032-00000028,5013-1,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,5013-1,0,,,
3,71032-00000028,5013-1,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,5013-1,0,,,
0,71032-00000029,5013-2,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,5013-2,0,,,
3,71032-00000029,5013-2,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,5013-2,0,,,
0,71032-00000030,5013-11,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,5013-11,0,,,
3,71032-00000030,5013-11,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,5013-11,0,,,
0,71032-00000040,5043-1,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,5043-1,0,,,
3,71032-00000040,5043-1,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,5043-1,0,,,
0,71032-00000041,5043-2,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,5043-2,0,,,
3,71032-00000041,5043-2,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,5043-2,0,,,
0,71032-00000042,5043-11,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,5043-11,0,,,
3,71032-00000042,5043-11,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,5043-11,0,,,
0,71032-00000043,5043-12,1,サングラス,0,0,0,0,0,0,999,RFC倉庫,0,0,5043-12,0,,,
0,71032-00000043,5043-12,1,サングラス,0,0,0,0,0,0,61144,自社倉庫,0,0,5043-12,0,,,
0,71032-00000048,5135(5336p)-1,3,PCメガネ,196,3,0,0,0,199,999,RFC倉庫,0,0,5135-1,0,,,
199,71032-00000048,5135(5336p)-1,3,PCメガネ,196,3,0,0,0,199,61144,自社倉庫,199,3,5135-1,0,,,
0,71032-00000049,5135(5336p)-2,3,PCメガネ,109,1,0,0,0,110,999,RFC倉庫,0,0,5135-2,0,,,
110,71032-00000049,5135(5336p)-2,3,PCメガネ,109,1,0,0,0,110,61144,自社倉庫,110,1,5135-2,0,,,
0,71032-00000052,7003-1,1,花粉対策メガネ,0,0,0,0,0,0,999,RFC倉庫,0,0,7003-1,0,,,
0,71032-00000052,7003-1,1,花粉対策メガネ,0,0,0,0,0,0,61144,自社倉庫,0,0,7003-1,0,,,
0,71032-00000053,7003-2,1,花粉対策メガネ,0,0,0,0,0,0,999,RFC倉庫,0,0,7003-2,0,,,
0,71032-00000053,7003-2,1,花粉対策メガネ,0,0,0,0,0,0,61144,自社倉庫,0,0,7003-2,0,,,
0,71032-00000054,7003-9,1,花粉対策メガネ,0,0,0,0,0,0,999,RFC倉庫,0,0,7003-9,0,,,
0,71032-00000054,7003-9,1,花粉対策メガネ,0,0,0,0,0,0,61144,自社倉庫,0,0,7003-9,0,,,
0,71032-00000055,7006-1,1,サングラス,3,0,0,0,0,3,999,RFC倉庫,0,0,7006-1,0,,,
3,71032-00000055,7006-1,1,サングラス,3,0,0,0,0,3,61144,自社倉庫,3,0,7006-1,0,,,
0,71032-00000056,7006-2,1,サングラス,6,0,0,0,0,6,999,RFC倉庫,0,0,7006-2,0,,,
6,71032-00000056,7006-2,1,サングラス,6,0,0,0,0,6,61144,自社倉庫,6,0,7006-2,0,,,
0,71032-00000057,7007-1,1,花粉対策メガネ,2,0,0,0,0,2,999,RFC倉庫,0,0,7007-1,0,,,
2,71032-00000057,7007-1,1,花粉対策メガネ,2,0,0,0,0,2,61144,自社倉庫,2,0,7007-1,0,,,
0,71032-00000058,7007-2,1,花粉対策メガネ,170,0,0,0,0,170,999,RFC倉庫,0,0,7007-2,0,,,
170,71032-00000058,7007-2,1,花粉対策メガネ,170,0,0,0,0,170,61144,自社倉庫,170,0,7007-2,0,,,
0,71032-00000064,a-141-mulga-1blk,1,メガネケース,3,0,0,0,0,3,999,RFC倉庫,0,0,a-141-mulga-1blk,0,,,
3,71032-00000064,a-141-mulga-1blk,1,メガネケース,3,0,0,0,0,3,61144,自社倉庫,3,0,a-141-mulga-1blk,0,,,
0,71032-00000065,a-141-mulga-2blue,1,メガネケース,3,0,0,0,0,3,999,RFC倉庫,0,0,a-141-mulga-2blue,0,,,
3,71032-00000065,a-141-mulga-2blue,1,メガネケース,3,0,0,0,0,3,61144,自社倉庫,3,0,a-141-mulga-2blue,0,,,
0,71032-00000066,a-141-mulga-3pink,1,メガネケース,3,0,0,0,0,3,999,RFC倉庫,0,0,a-141-mulga-3pink,0,,,
3,71032-00000066,a-141-mulga-3pink,1,メガネケース,3,0,0,0,0,3,61144,自社倉庫,3,0,a-141-mulga-3pink,0,,,
0,71032-00000067,a-701-navy,1,メガネケース,0,0,0,0,0,0,999,RFC倉庫,0,0,a-701-navy,0,,,
0,71032-00000067,a-701-navy,1,メガネケース,0,0,0,0,0,0,61144,自社倉庫,0,0,a-701-navy,0,,,
0,71032-00000068,a-701-lightolive,1,メガネケース,0,0,0,0,0,0,999,RFC倉庫,0,0,a-701-lightolive,0,,,
0,71032-00000068,a-701-lightolive,1,メガネケース,0,0,0,0,0,0,61144,自社倉庫,0,0,a-701-lightolive,0,,,
0,71032-00000069,a-701-ecru,1,メガネケース,0,0,0,0,0,0,999,RFC倉庫,0,0,a-701-ecru,0,,,
0,71032-00000069,a-701-ecru,1,メガネケース,0,0,0,0,0,0,61144,自社倉庫,0,0,a-701-ecru,0,,,
0,71032-00000070,a-701-orange,1,メガネケース,0,0,0,0,0,0,999,RFC倉庫,0,0,a-701-orange,0,,,
0,71032-00000070,a-701-orange,1,メガネケース,0,0,0,0,0,0,61144,自社倉庫,0,0,a-701-orange,0,,,
0,71032-00000071,a-701-camel,1,メガネケース,1,0,0,0,0,1,999,RFC倉庫,0,0,a-701-camel,0,,,
1,71032-00000071,a-701-camel,1,メガネケース,1,0,0,0,0,1,61144,自社倉庫,1,0,a-701-camel,0,,,
0,71032-00000072,af5002-1,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5002-1,0,,,
0,71032-00000072,af5002-1,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5002-1,0,,,
0,71032-00000073,af5002-2,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5002-2,0,,,
0,71032-00000073,af5002-2,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5002-2,0,,,
0,71032-00000074,af5010-2,1,防曇グラス,3,0,0,0,0,3,999,RFC倉庫,0,0,af5010-2,0,,,
3,71032-00000074,af5010-2,1,防曇グラス,3,0,0,0,0,3,61144,自社倉庫,3,0,af5010-2,0,,,
0,71032-00000075,af5010-31,1,防曇グラス,3,0,0,0,0,3,999,RFC倉庫,0,0,af5010-31,0,,,
3,71032-00000075,af5010-31,1,防曇グラス,3,0,0,0,0,3,61144,自社倉庫,3,0,af5010-31,0,,,
0,71032-00000076,af5099-1,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5099-1,0,,,
0,71032-00000076,af5099-1,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5099-1,0,,,
0,71032-00000077,af5099-2,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5099-2,0,,,
0,71032-00000077,af5099-2,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5099-2,0,,,
0,71032-00000078,af5465a-72,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5465a-72,0,,,
0,71032-00000078,af5465a-72,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5465a-72,0,,,
0,71032-00000079,af5465a-82,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5465a-82,0,,,
0,71032-00000079,af5465a-82,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5465a-82,0,,,
0,71032-00000080,af5606-1,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5606-1,0,,,
0,71032-00000080,af5606-1,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5606-1,0,,,
0,71032-00000081,af5606-2,1,防曇グラス,0,0,0,0,0,0,999,RFC倉庫,0,0,af5606-2,0,,,
0,71032-00000081,af5606-2,1,防曇グラス,0,0,0,0,0,0,61144,自社倉庫,0,0,af5606-2,0,,,
0,71032-00000085,as-ds01-1RED,1,アクリルスタンド,10,0,0,0,0,10,999,RFC倉庫,0,0,as-ds01-1,0,,,
10,71032-00000085,as-ds01-1RED,1,アクリルスタンド,10,0,0,0,0,10,61144,自社倉庫,10,0,as-ds01-1,0,,,
0,71032-00000087,as-ds01-3BLU,1,アクリルスタンド,3,0,0,0,0,3,999,RFC倉庫,0,0,as-ds01-3,0,,,
3,71032-00000087,as-ds01-3BLU,1,アクリルスタンド,3,0,0,0,0,3,61144,自社倉庫,3,0,as-ds01-3,0,,,
0,71032-00000088,b-120-blk,1,メガネケース,2,0,0,0,0,2,999,RFC倉庫,0,0,b-120-blk,0,,,
2,71032-00000088,b-120-blk,1,メガネケース,2,0,0,0,0,2,61144,自社倉庫,2,0,b-120-blk,0,,,
0,71032-00000089,b-120-brn,1,メガネケース,11,0,0,0,0,11,999,RFC倉庫,0,0,b-120-brn,0,,,
11,71032-00000089,b-120-brn,1,メガネケース,11,0,0,0,0,11,61144,自社倉庫,11,0,b-120-brn,0,,,
0,71032-00000090,b-120-kha,1,メガネケース,12,0,0,0,0,12,999,RFC倉庫,0,0,b-120-kha,0,,,
12,71032-00000090,b-120-kha,1,メガネケース,12,0,0,0,0,12,61144,自社倉庫,12,0,b-120-kha,0,,,
0,71032-00000091,b-120-beg,1,メガネケース,11,0,0,0,0,11,999,RFC倉庫,0,0,b-120-beg,0,,,
11,71032-00000091,b-120-beg,1,メガネケース,11,0,0,0,0,11,61144,自社倉庫,11,0,b-120-beg,0,,,
0,71032-00000092,b-120-grn,1,メガネケース,15,0,0,0,0,15,999,RFC倉庫,0,0,b-120-grn,0,,,
15,71032-00000092,b-120-grn,1,メガネケース,15,0,0,0,0,15,61144,自社倉庫,15,0,b-120-grn,0,,,
0,71032-00000093,bdr-1001-1-10,1,老眼鏡,5,0,0,0,0,5,999,RFC倉庫,0,0,bdr-1001-1-10,0,,,
5,71032-00000093,bdr-1001-1-10,1,老眼鏡,5,0,0,0,0,5,61144,自社倉庫,5,0,bdr-1001-1-10,0,,,
0,71032-00000094,bdr-1001-2-10,1,老眼鏡,9,0,0,0,0,9,999,RFC倉庫,0,0,bdr-1001-2-10,0,,,
9,71032-00000094,bdr-1001-2-10,1,老眼鏡,9,0,0,0,0,9,61144,自社倉庫,9,0,bdr-1001-2-10,0,,,
0,71032-00000095,bdr-1001-1-15,1,老眼鏡,3,0,0,0,0,3,999,RFC倉庫,0,0,bdr-1001-1-15,0,,,
3,71032-00000095,bdr-1001-1-15,1,老眼鏡,3,0,0,0,0,3,61144,自社倉庫,3,0,bdr-1001-1-15,0,,,
0,71032-00000096,bdr-1001-2-15,1,老眼鏡,13,0,0,0,0,13,999,RFC倉庫,0,0,bdr-1001-2-15,0,,,
13,71032-00000096,bdr-1001-2-15,1,老眼鏡,13,0,0,0,0,13,61144,自社倉庫,13,0,bdr-1001-2-15,0,,,
0,71032-00000097,bdr-1001-1-20,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-1001-1-20,0,,,
0,71032-00000097,bdr-1001-1-20,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-1001-1-20,0,,,
0,71032-00000098,bdr-1001-2-20,1,老眼鏡,10,0,0,0,0,10,999,RFC倉庫,0,0,bdr-1001-2-20,0,,,
10,71032-00000098,bdr-1001-2-20,1,老眼鏡,10,0,0,0,0,10,61144,自社倉庫,10,0,bdr-1001-2-20,0,,,
0,71032-00000099,bdr-1001-1-25,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-1001-1-25,0,,,
0,71032-00000099,bdr-1001-1-25,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-1001-1-25,0,,,
0,71032-00000100,bdr-1001-2-25,1,老眼鏡,2,0,0,0,0,2,999,RFC倉庫,0,0,bdr-1001-2-25,0,,,
2,71032-00000100,bdr-1001-2-25,1,老眼鏡,2,0,0,0,0,2,61144,自社倉庫,2,0,bdr-1001-2-25,0,,,
0,71032-00000101,bdr-1002-1-10,1,老眼鏡,9,0,0,0,0,9,999,RFC倉庫,0,0,bdr-1002-1-10,0,,,
9,71032-00000101,bdr-1002-1-10,1,老眼鏡,9,0,0,0,0,9,61144,自社倉庫,9,0,bdr-1002-1-10,0,,,
0,71032-00000102,bdr-1002-2-10,1,老眼鏡,12,0,0,0,0,12,999,RFC倉庫,0,0,bdr-1002-2-10,0,,,
12,71032-00000102,bdr-1002-2-10,1,老眼鏡,12,0,0,0,0,12,61144,自社倉庫,12,0,bdr-1002-2-10,0,,,
0,71032-00000103,bdr-1002-1-15,1,老眼鏡,9,0,0,0,0,9,999,RFC倉庫,0,0,bdr-1002-1-15,0,,,
9,71032-00000103,bdr-1002-1-15,1,老眼鏡,9,0,0,0,0,9,61144,自社倉庫,9,0,bdr-1002-1-15,0,,,
0,71032-00000104,bdr-1002-2-15,1,老眼鏡,10,0,0,0,0,10,999,RFC倉庫,0,0,bdr-1002-2-15,0,,,
10,71032-00000104,bdr-1002-2-15,1,老眼鏡,10,0,0,0,0,10,61144,自社倉庫,10,0,bdr-1002-2-15,0,,,
0,71032-00000105,bdr-1002-1-20,1,老眼鏡,10,1,0,0,0,11,999,RFC倉庫,0,0,bdr-1002-1-20,0,,,
11,71032-00000105,bdr-1002-1-20,1,老眼鏡,10,1,0,0,0,11,61144,自社倉庫,11,1,bdr-1002-1-20,0,,,
0,71032-00000106,bdr-1002-2-20,1,老眼鏡,13,0,0,0,0,13,999,RFC倉庫,0,0,bdr-1002-2-20,0,,,
13,71032-00000106,bdr-1002-2-20,1,老眼鏡,13,0,0,0,0,13,61144,自社倉庫,13,0,bdr-1002-2-20,0,,,
0,71032-00000107,bdr-1002-1-25,1,老眼鏡,15,0,0,0,0,15,999,RFC倉庫,0,0,bdr-1002-1-25,0,,,
15,71032-00000107,bdr-1002-1-25,1,老眼鏡,15,0,0,0,0,15,61144,自社倉庫,15,0,bdr-1002-1-25,0,,,
0,71032-00000108,bdr-1002-2-25,1,老眼鏡,15,0,0,0,0,15,999,RFC倉庫,0,0,bdr-1002-2-25,0,,,
15,71032-00000108,bdr-1002-2-25,1,老眼鏡,15,0,0,0,0,15,61144,自社倉庫,15,0,bdr-1002-2-25,0,,,
0,71032-00000109,bdr-1003-1-10,1,老眼鏡,11,0,0,0,0,11,999,RFC倉庫,0,0,bdr-1003-1-10,0,,,
11,71032-00000109,bdr-1003-1-10,1,老眼鏡,11,0,0,0,0,11,61144,自社倉庫,11,0,bdr-1003-1-10,0,,,
0,71032-00000110,bdr-1003-2-10,1,老眼鏡,14,0,0,0,0,14,999,RFC倉庫,0,0,bdr-1003-2-10,0,,,
14,71032-00000110,bdr-1003-2-10,1,老眼鏡,14,0,0,0,0,14,61144,自社倉庫,14,0,bdr-1003-2-10,0,,,
0,71032-00000111,bdr-1003-1-15,1,老眼鏡,10,0,0,0,0,10,999,RFC倉庫,0,0,bdr-1003-1-15,0,,,
